,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
23,Horan ,Tommy,4,17,14,7,5,2,0,0,2,3,1,0,1,0,2,1,.500,.588,.643,1.231,8.500,2.000,.929,0,1,0,1.000,0,0,0,2,9,.000,.500,59,3.471,0,.000,2,.118,46.15%,30.77%,0,0,2,0,4,9,52.94%,.538,5.0,2,1,0,1,0,0,0,.000,4,4,2,1,0,1,3.600,1.000,24,79,49,30,15.800,3.292,14,.583,4,0,0,3,6.944,.620,16,.667,.812,.000,.188,.200,4,1,0,0,0,21,3,.038,.000,.000,.000,.500,.500,.364,.636,3,10,.300,.190,1,.143,5,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,14,14,0,0,3,0,1.000,0.0,0,0,0,.000,0,0
24,Gunkel,Wyatt,6,24,23,4,3,1,0,0,1,2,0,0,0,0,1,3,.174,.208,.217,.426,24.000,.333,.870,1,0,0,.000,0,1,0,1,5,.000,.100,83,3.458,5,.208,5,.208,20.00%,60.00%,0,0,15,1,7,12,50.00%,.200,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,38,4,32,2,1,0,.947,24.1,1,3,0,.000,1,0
27,McBain,Tanner,3,9,8,2,2,0,0,0,2,2,0,1,0,0,1,2,.250,.333,.250,.583,9.000,.500,.750,1,0,0,.000,0,0,0,0,2,.000,1.000,29,3.222,0,.000,0,.000,16.67%,83.33%,0,0,4,1,2,3,33.33%,.333,2.0,1,0,0,0,0,0,0,.000,2,0,0,1,3,0,.000,1.500,10,38,24,14,19.000,3.800,4,.400,0,0,0,0,1.625,.632,7,.700,.714,.000,.286,.500,1,0,1,0,0,9,6,.158,13.500,.300,3.000,.500,.500,.500,.500,0,2,.000,.222,0,.333,4,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,2,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
30,Huseby,Sam,4,15,14,2,1,1,0,0,0,2,0,0,0,0,1,8,.143,.200,.214,.414,15.000,.125,.429,1,0,0,.000,0,0,0,1,3,.000,.000,52,3.467,1,.067,1,.067,50.00%,33.33%,0,0,11,0,1,3,20.00%,.333,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,11,0,10,1,1,0,.909,0.0,0,0,0,.000,0,0
69,Naugle,Jack,4,11,11,1,1,0,0,0,0,0,0,0,0,0,0,4,.091,.091,.091,.182,.000,.000,.636,2,0,0,.000,0,1,0,0,1,.000,.000,45,4.091,2,.182,3,.273,57.14%,42.86%,0,0,11,0,0,4,36.36%,.143,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,13,4,9,0,0,0,1.000,7.0,0,5,1,.167,0,0
,Huntington,Shea,3,9,7,2,2,0,0,0,0,1,1,0,0,0,1,4,.286,.444,.286,.730,9.000,.250,.429,1,0,0,.000,0,0,0,0,2,.000,.000,34,3.778,0,.000,2,.222,33.33%,33.33%,0,0,1,0,2,4,44.44%,.667,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,0,3,1,0,0,.750,8.0,0,2,0,.000,0,0
,Levasseur,Luke,1,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,.000,1.000,0,0,0,.000,0,0,0,0,0,.000,.000,18,3.600,1,.200,1,.200,40.00%,40.00%,0,1,4,0,1,2,40.00%,.000,9.0,4,1,0,1,1,1,0,1.000,11,4,3,0,8,0,3.000,1.222,39,101,85,16,11.222,2.590,31,.795,7,6,2,5,2.760,.842,33,.846,.727,.000,.273,.000,9,0,0,0,0,39,16,.158,8.000,.205,.000,.645,.355,.600,.400,11,4,2.750,.282,1,.333,8,1,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,5,2,3,0,2,0,1.000,0.0,0,0,0,.000,0,0
,Dorsey,David,7,29,26,8,6,1,0,1,3,5,0,1,0,0,1,5,.308,.310,.462,.772,29.000,.200,.808,2,1,0,1.000,0,0,0,2,12,26.000,.000,93,3.207,4,.138,3,.103,43.48%,39.13%,0,2,17,0,7,15,51.72%,.318,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,28,12,15,1,2,0,.964,0.0,0,0,0,.000,0,0
,Fagerland,Canaan,2,8,6,3,2,1,0,0,1,0,0,1,0,0,2,1,.500,.625,.667,1.292,4.000,2.000,.833,1,0,0,.000,0,0,0,1,4,.000,.500,24,3.000,1,.125,2,.250,20.00%,60.00%,0,0,2,1,4,7,87.50%,.600,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,6,3,2,1,0,0,.833,0.0,0,0,0,.000,0,0
,Roerich,Tristian,3,11,11,4,4,0,0,0,0,1,0,0,0,0,0,2,.364,.364,.364,.727,.000,.000,.818,1,0,0,.000,0,0,0,0,4,.000,.000,55,5.000,5,.455,4,.364,33.33%,55.56%,0,0,5,0,3,7,63.64%,.444,3.0,1,1,0,0,0,0,0,.000,0,0,0,1,5,0,.000,.333,10,40,26,14,13.333,4.000,2,.200,3,3,2,1,.770,.650,6,.600,1.000,.000,.000,.333,2,0,0,0,0,9,9,.225,15.000,.500,5.000,.750,.250,.500,.500,2,2,1.000,.000,0,.000,1,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,4,0,3,1,0,0,.750,0.0,0,0,0,.000,0,0
